month,year,country_na,mean
1.0,1981.0,India,21.038253552215203
2.0,1981.0,India,11.611993585600446
3.0,1981.0,India,33.8351666206743
4.0,1981.0,India,33.592116899555734
5.0,1981.0,India,62.350640224849045
6.0,1981.0,India,140.85299851345914
7.0,1981.0,India,309.60444051473416
8.0,1981.0,India,214.61368584357078
9.0,1981.0,India,188.53467279402236
10.0,1981.0,India,49.88026594777329
11.0,1981.0,India,20.285895172708685
12.0,1981.0,India,9.888796301777752
1.0,1982.0,India,18.268308001015964
2.0,1982.0,India,16.341305707271164
3.0,1982.0,India,23.167394662033644
4.0,1982.0,India,34.19234046640519
5.0,1982.0,India,50.05148628922511
6.0,1982.0,India,128.1275005625733
7.0,1982.0,India,220.96866364755914
8.0,1982.0,India,249.5470681604831
9.0,1982.0,India,120.56787842401836
10.0,1982.0,India,45.657324745621814
11.0,1982.0,India,27.52183910856947
12.0,1982.0,India,9.484696696190369
1.0,1983.0,India,15.10451633631593
2.0,1983.0,India,13.693942679798322
3.0,1983.0,India,19.243083390888984
4.0,1983.0,India,29.458783092998427
5.0,1983.0,India,58.210190823652965
6.0,1983.0,India,139.58921507914593
7.0,1983.0,India,272.88593679866364
8.0,1983.0,India,283.5774395122837
9.0,1983.0,India,228.38378311174543
10.0,1983.0,India,77.8442299863503
11.0,1983.0,India,11.22697179326291
12.0,1983.0,India,18.373512271245268
1.0,1984.0,India,15.695881616807414
2.0,1984.0,India,16.963807393748603
3.0,1984.0,India,17.7273592509119
4.0,1984.0,India,30.40797620599244
5.0,1984.0,India,54.72751310672063
6.0,1984.0,India,176.7625849754765
7.0,1984.0,India,267.77762105821404
8.0,1984.0,India,257.06484786124
9.0,1984.0,India,144.56086797633662
10.0,1984.0,India,62.397710165821145
11.0,1984.0,India,14.546988259008748
12.0,1984.0,India,10.95337874656689
1.0,1985.0,India,14.5301010127751
2.0,1985.0,India,10.338275651743446
3.0,1985.0,India,19.60035611719194
4.0,1985.0,India,27.091621671762194
5.0,1985.0,India,51.32251724593539
6.0,1985.0,India,152.33311219255324
7.0,1985.0,India,301.01830295492726
8.0,1985.0,India,256.542173559983
9.0,1985.0,India,159.92177564335356
10.0,1985.0,India,102.6579952407668
11.0,1985.0,India,21.960919253621384
12.0,1985.0,India,13.10099521424658
1.0,1986.0,India,11.696903434858873
2.0,1986.0,India,15.827350483512324
3.0,1986.0,India,15.888842765169949
4.0,1986.0,India,36.23690750002001
5.0,1986.0,India,47.58020407928923
6.0,1986.0,India,167.28786115709872
7.0,1986.0,India,246.9178696659325
8.0,1986.0,India,230.32400012622605
9.0,1986.0,India,129.75300451270084
10.0,1986.0,India,68.4749501897062
11.0,1986.0,India,29.91583527492894
